  x            arcCos           Library        Difference 
  -            ------           -------        ---------- 
 -1.0000       3.14159265       3.14159265 -0.000000000058208
 -0.9000       2.69056584       2.69056584 -0.000000000001035
 -0.8000       2.49809154       2.49809154  0.000000000000000
 -0.7000       2.34619382       2.34619382 -0.000000000004307
 -0.6000       2.21429744       2.21429744 -0.000000000000010
 -0.5000       2.09439510       2.09439510  0.000000000000000
 -0.4000       1.98231317       1.98231317 -0.000000000000000
 -0.3000       1.87548898       1.87548898 -0.000000000001843
 -0.2000       1.77215425       1.77215425 -0.000000000000004
 -0.1000       1.67096375       1.67096375  0.000000000000000
 -0.0000       1.57079633       1.57079633  0.000000000000000
  0.1000       1.47062891       1.47062891  0.000000000000000
  0.2000       1.36943841       1.36943841  0.000000000000004
  0.3000       1.26610367       1.26610367  0.000000000001843
  0.4000       1.15927948       1.15927948  0.000000000000000
  0.5000       1.04719755       1.04719755  0.000000000000000
  0.6000       0.92729522       0.92729522  0.000000000000010
  0.7000       0.79539883       0.79539883  0.000000000004306
  0.8000       0.64350111       0.64350111 -0.000000000000000
  0.9000       0.45102681       0.45102681  0.000000000001035
  1.0000       0.00000002       0.00000002  0.000000000000000
