  x            arcSin           Library        Difference 
  -            ------           -------        ---------- 
 -1.0000      -1.57079633      -1.57079633  0.000000000058208
 -0.9000      -1.11976951      -1.11976951  0.000000000001035
 -0.8000      -0.92729522      -0.92729522 -0.000000000000000
 -0.7000      -0.77539750      -0.77539750  0.000000000004307
 -0.6000      -0.64350111      -0.64350111  0.000000000000010
 -0.5000      -0.52359878      -0.52359878  0.000000000000000
 -0.4000      -0.41151685      -0.41151685  0.000000000000000
 -0.3000      -0.30469265      -0.30469265  0.000000000001843
 -0.2000      -0.20135792      -0.20135792  0.000000000000004
 -0.1000      -0.10016742      -0.10016742  0.000000000000000
 -0.0000      -0.00000000      -0.00000000  0.000000000000000
  0.1000       0.10016742       0.10016742  0.000000000000000
  0.2000       0.20135792       0.20135792 -0.000000000000004
  0.3000       0.30469265       0.30469265 -0.000000000001843
  0.4000       0.41151685       0.41151685  0.000000000000000
  0.5000       0.52359878       0.52359878  0.000000000000000
  0.6000       0.64350111       0.64350111 -0.000000000000010
  0.7000       0.77539750       0.77539750 -0.000000000004307
  0.8000       0.92729522       0.92729522  0.000000000000000
  0.9000       1.11976951       1.11976951 -0.000000000001035
  1.0000       1.57079631       1.57079631 -0.000000000000000
