  x            arcTan           Library        Difference 
  -            ------           -------        ---------- 
  1.0000       0.78539816       0.78539816 -0.000000000006559
  1.1000       0.83298127       0.83298127 -0.000000000045600
  1.2000       0.87605805       0.87605805  0.000000000000000
  1.3000       0.91510070       0.91510070  0.000000000000000
  1.4000       0.95054684       0.95054684  0.000000000000000
  1.5000       0.98279372       0.98279372 -0.000000000000000
  1.6000       1.01219701       1.01219701 -0.000000000000000
  1.7000       1.03907226       1.03907226 -0.000000000000005
  1.8000       1.06369782       1.06369782 -0.000000000000026
  1.9000       1.08631840       1.08631840 -0.000000000000118
  2.0000       1.10714872       1.10714872 -0.000000000000458
  2.1000       1.12637712       1.12637712 -0.000000000000000
  2.2000       1.14416883       1.14416883 -0.000000000000000
  2.3000       1.16066899       1.16066899 -0.000000000000000
  2.4000       1.17600521       1.17600521  0.000000000093028
  2.5000       1.19028995       1.19028995  0.000000000053186
  2.6000       1.20362249       1.20362249  0.000000000030972
  2.7000       1.21609067       1.21609067  0.000000000018352
  2.8000       1.22777239       1.22777239  0.000000000011054
  2.9000       1.23873686       1.23873686  0.000000000006762
  3.0000       1.24904577       1.24904577  0.000000000004197
  3.1000       1.25875421       1.25875421  0.000000000002641
  3.2000       1.26791146       1.26791146  0.000000000001684
  3.3000       1.27656176       1.27656176  0.000000000001087
  3.4000       1.28474489       1.28474489  0.000000000000710
  3.5000       1.29249667       1.29249667  0.000000000000469
  3.6000       1.29984948       1.29984948  0.000000000000313
  3.7000       1.30683260       1.30683260  0.000000000000211
  3.8000       1.31347261       1.31347261  0.000000000000143
  3.9000       1.31979364       1.31979364  0.000000000000099
  4.0000       1.32581766       1.32581766  0.000000000000068
  4.1000       1.33156473       1.33156473  0.000000000000048
  4.2000       1.33705315       1.33705315  0.000000000000034
  4.3000       1.34229969       1.34229969  0.000000000000024
  4.4000       1.34731973       1.34731973  0.000000000000018
  4.5000       1.35212738       1.35212738  0.000000000000013
  4.6000       1.35673564       1.35673564  0.000000000000009
  4.7000       1.36115648       1.36115648  0.000000000000006
  4.8000       1.36540094       1.36540094  0.000000000000005
  4.9000       1.36947922       1.36947922  0.000000000000003
  5.0000       1.37340077       1.37340077  0.000000000000002
  5.1000       1.37717433       1.37717433  0.000000000000001
  5.2000       1.38080804       1.38080804  0.000000000000002
  5.3000       1.38430943       1.38430943  0.000000000000002
  5.4000       1.38768551       1.38768551  0.000000000000001
  5.5000       1.39094283       1.39094283  0.000000000000001
  5.6000       1.39408747       1.39408747  0.000000000000000
  5.7000       1.39712513       1.39712513  0.000000000000001
  5.8000       1.40006112       1.40006112  0.000000000000000
  5.9000       1.40290040       1.40290040 -0.000000000000001
  6.0000       1.40564765       1.40564765 -0.000000000000000
  6.1000       1.40830722       1.40830722  0.000000000000000
  6.2000       1.41088320       1.41088320  0.000000000000000
  6.3000       1.41337945       1.41337945 -0.000000000000000
  6.4000       1.41579958       1.41579958  0.000000000000000
  6.5000       1.41814700       1.41814700  0.000000000000000
  6.6000       1.42042490       1.42042490  0.000000000000000
  6.7000       1.42263631       1.42263631 -0.000000000000000
  6.8000       1.42478407       1.42478407 -0.000000000000001
  6.9000       1.42687088       1.42687088  0.000000000000000
  7.0000       1.42889927       1.42889927 -0.000000000000000
  7.1000       1.43087166       1.43087166  0.000000000000000
  7.2000       1.43279030       1.43279030  0.000000000000000
  7.3000       1.43465737       1.43465737 -0.000000000000001
  7.4000       1.43647488       1.43647488 -0.000000000000000
  7.5000       1.43824479       1.43824479  0.000000000000000
  7.6000       1.43996893       1.43996893 -0.000000000000000
  7.7000       1.44164904       1.44164904  0.000000000000001
  7.8000       1.44328677       1.44328677 -0.000000000000001
  7.9000       1.44488370       1.44488370 -0.000000000000000
  8.0000       1.44644133       1.44644133 -0.000000000000000
  8.1000       1.44796109       1.44796109  0.000000000000001
  8.2000       1.44944433       1.44944433 -0.000000000000001
  8.3000       1.45089234       1.45089234  0.000000000000000
  8.4000       1.45230637       1.45230637 -0.000000000000000
  8.5000       1.45368758       1.45368758 -0.000000000000000
  8.6000       1.45503711       1.45503711  0.000000000000000
  8.7000       1.45635602       1.45635602  0.000000000000001
  8.8000       1.45764535       1.45764535 -0.000000000000001
  8.9000       1.45890606       1.45890606 -0.000000000000001
  9.0000       1.46013911       1.46013911 -0.000000000000001
  9.1000       1.46134538       1.46134538  0.000000000000000
  9.2000       1.46252574       1.46252574 -0.000000000000001
  9.3000       1.46368100       1.46368100  0.000000000000001
  9.4000       1.46481197       1.46481197  0.000000000000001
  9.5000       1.46591939       1.46591939 -0.000000000000001
  9.6000       1.46700399       1.46700399  0.000000000000001
  9.7000       1.46806646       1.46806646  0.000000000000000
  9.8000       1.46910748       1.46910748  0.000000000000001
  9.9000       1.47012767       1.47012767  0.000000000000000
 10.0000       1.47112767       1.47112767  0.000000000000000
