  x            Log              Library        Difference 
  -            ------           -------        ---------- 
  1.0000       0.00000000       0.00000000  0.000000000001223
  1.1000       0.09531018       0.09531018  0.000000000001534
  1.2000       0.18232156       0.18232156  0.000000000002436
  1.3000       0.26236426       0.26236426  0.000000000003475
  1.4000       0.33647224       0.33647224  0.000000000005971
  1.5000       0.40546511       0.40546511  0.000000000012888
  1.6000       0.47000363       0.47000363  0.000000000026778
  1.7000       0.53062825       0.53062825  0.000000000000638
  1.8000       0.58778666       0.58778666  0.000000000002066
  1.9000       0.64185389       0.64185389  0.000000000000278
  2.0000       0.69314718       0.69314718  0.000000000000720
  2.1000       0.74193734       0.74193734  0.000000000001667
  2.2000       0.78845736       0.78845736  0.000000000000198
  2.3000       0.83290912       0.83290912  0.000000000000408
  2.4000       0.87546874       0.87546874  0.000000000000789
  2.5000       0.91629073       0.91629073  0.000000000001439
  2.6000       0.95551145       0.95551145  0.000000000002503
  2.7000       0.99325177       0.99325177  0.000000000000328
  2.8000       1.02961942       1.02961942  0.000000000000704
  2.9000       1.06471074       1.06471074  0.000000000001795
  3.0000       1.09861229       1.09861229  0.000000000005438
  3.1000       1.13140211       1.13140211  0.000000000018126
  3.2000       1.16315081       1.16315081  0.000000000002486
  3.3000       1.19392247       1.19392247  0.000000000000265
  3.4000       1.22377543       1.22377543  0.000000000000383
  3.5000       1.25276297       1.25276297  0.000000000000542
  3.6000       1.28093385       1.28093385  0.000000000000754
  3.7000       1.30833282       1.30833282  0.000000000001031
  3.8000       1.33500107       1.33500107  0.000000000001390
  3.9000       1.36097655       1.36097655  0.000000000001851
  4.0000       1.38629436       1.38629436  0.000000000000230
  4.1000       1.41098697       1.41098697  0.000000000000443
  4.2000       1.43508453       1.43508453  0.000000000001249
  4.3000       1.45861502       1.45861502  0.000000000004607
  4.4000       1.48160454       1.48160454  0.000000000018247
  4.5000       1.50407740       1.50407740  0.000000000000703
  4.6000       1.52605630       1.52605630  0.000000000000882
  4.7000       1.54756251       1.54756251  0.000000000001095
  4.8000       1.56861592       1.56861592  0.000000000001351
  4.9000       1.58923521       1.58923521  0.000000000001655
  5.0000       1.60943791       1.60943791  0.000000000002013
  5.1000       1.62924054       1.62924054  0.000000000000221
  5.2000       1.64865863       1.64865863  0.000000000000282
  5.3000       1.66770682       1.66770682  0.000000000000417
  5.4000       1.68639895       1.68639895  0.000000000000909
  5.5000       1.70474809       1.70474809  0.000000000003092
  5.6000       1.72276660       1.72276660  0.000000000012699
  5.7000       1.74046617       1.74046617  0.000000000000647
  5.8000       1.75785792       1.75785792  0.000000000000762
  5.9000       1.77495235       1.77495235  0.000000000000892
  6.0000       1.79175947       1.79175947  0.000000000001041
  6.1000       1.80828877       1.80828877  0.000000000001209
  6.2000       1.82454929       1.82454929  0.000000000001398
  6.3000       1.84054963       1.84054963  0.000000000001614
  6.4000       1.85629799       1.85629799  0.000000000000197
  6.5000       1.87180218       1.87180218  0.000000000000315
  6.6000       1.88706965       1.88706965  0.000000000000858
  6.7000       1.90210753       1.90210753  0.000000000003515
  6.8000       1.91692261       1.91692261  0.000000000000313
  6.9000       1.93152141       1.93152141  0.000000000000356
  7.0000       1.94591015       1.94591015  0.000000000000405
  7.1000       1.96009478       1.96009478  0.000000000000459
  7.2000       1.97408103       1.97408103  0.000000000000518
  7.3000       1.98787435       1.98787435  0.000000000000584
  7.4000       2.00148000       2.00148000  0.000000000000656
  7.5000       2.01490302       2.01490302  0.000000000000740
  7.6000       2.02814825       2.02814825  0.000000000000857
  7.7000       2.04122033       2.04122033  0.000000000001138
  7.8000       2.05412373       2.05412373  0.000000000002290
  7.9000       2.06686276       2.06686276  0.000000000007743
  8.0000       2.07944154       2.07944154  0.000000000001259
  8.1000       2.09186406       2.09186406  0.000000000001394
  8.2000       2.10413415       2.10413415  0.000000000000161
  8.3000       2.11625551       2.11625551  0.000000000000178
  8.4000       2.12823171       2.12823171  0.000000000000198
  8.5000       2.14006616       2.14006616  0.000000000000218
  8.6000       2.15176220       2.15176220  0.000000000000243
  8.7000       2.16332303       2.16332303  0.000000000000282
  8.8000       2.17475172       2.17475172  0.000000000000403
  8.9000       2.18605128       2.18605128  0.000000000001011
  9.0000       2.19722458       2.19722458  0.000000000004191
  9.1000       2.20827441       2.20827441  0.000000000000383
  9.2000       2.21920348       2.21920348  0.000000000000419
  9.3000       2.23001440       2.23001440  0.000000000000457
  9.4000       2.24070969       2.24070969  0.000000000000498
  9.5000       2.25129180       2.25129180  0.000000000000542
  9.6000       2.26176310       2.26176310  0.000000000000588
  9.7000       2.27212589       2.27212589  0.000000000000640
  9.8000       2.28238239       2.28238239  0.000000000000703
  9.9000       2.29253476       2.29253476  0.000000000000827
 10.0000       2.30258509       2.30258509  0.000000000001311
