	
100  468  951     36	100  468  951     12
101  492  980     42	101  492  980     12
102  465  977     42	102  465  977     12
103  462  926     42	103  462  926     16
104  441  1044     32	104  441  1044     16
105  477  995     40	105  477  995     14
106  489  970     50	106  489  970     14
107  477  1093     38	107  477  1093     18
108  489  1103     34	108  489  1103     20
109  489  1127     40	109  489  1127     14
110  531  1056     44	110  531  1056     14
111  522  1110     46	111  522  1110     12
112  540  1156     40	112  540  1156     12
113  507  1073     52	113  507  1073     12
114  531  1142     40	114  531  1142     14
115  540  1126     38	115  540  1126     18
116  537  1106     48	116  537  1106     18
117  540  1226     40	117  540  1226     16
118  531  1242     36	118  531  1242     14
119  534  1294     50	119  534  1294     12
120  576  1342     46	120  576  1342     16
121  576  1144     60	121  576  1144     12
122  597  1201     46	122  597  1201     14
123  576  1229     42	123  576  1229     12
124  606  1244     44	124  606  1244     12
125  591  1254     38	125  591  1254     16
126  606  1330     36	126  606  1330     20
127  597  1317     42	127  597  1317     16
128  591  1631     28	128  591  1631     22
129  648  1298     48	129  648  1298     12
130  636  1255     62	130  636  1255     12
131  654  1481     38	131  654  1481     14
132  639  1497     46	132  639  1497     16
133  648  1407     48	133  648  1407     12
134  660  1371     56	134  660  1371     14
135  660  1368     50	135  660  1368     16
136  666  1386     46	136  666  1386     16
137  690  1443     46	137  690  1443     14
138  711  1464     42	138  711  1464     14
139  669  1480     44	139  669  1480     16
140  693  1437     52	140  693  1437     14
141  711  1394     54	141  711  1394     14
142  690  1404     70	142  690  1404     14
143  684  1545     42	143  684  1545     16
144  699  1556     40	144  699  1556     18
145  720  1535     46	145  720  1535     16
146  705  1447     54	146  705  1447     16
147  711  1571     44	147  711  1571     14
148  735  1541     58	148  735  1541     12
149  744  1495     52	149  744  1495     16
150  798  1544     62	150  798  1544     16
151  714  1593     44	151  714  1593     18
152  777  1586     52	152  777  1586     14
153  756  1583     62	153  756  1583     16
154  753  1672     52	154  753  1672     16
155  789  1637     56	155  789  1637     14
156  825  1628     68	156  825  1628     14
157  780  1627     48	157  780  1627     16
158  798  1585     54	158  798  1585     16
159  816  1715     52	159  816  1715     20
160  831  1731     50	160  831  1731     14
161  816  1631     56	161  816  1631     16
162  858  1699     48	162  858  1699     18
163  831  1913     44	163  831  1913     16
164  819  1821     58	164  819  1821     16
165  861  1737     68	165  861  1737     16
166  837  1887     52	166  837  1887     20
167  840  1841     50	167  840  1841     18
168  870  1700     74	168  870  1700     16
169  876  2194     50	169  876  2194     16
170  909  2172     52	170  909  2172     16
